country,CPI Inflation,Unemployment Rate,Bank Liquid to Assets
Afghanistan,0.626149149168847,11.196,70.7626396343786
United Arab Emirates,3.06863379251997,2.236,14.815447355687
Australia,1.91140094445691,5.3,1.02149048044685
Austria,1.9983798142954,4.933,
Burundi,-2.81469807668465,1.146,19.173431693381
Belgium,2.05316499865186,5.941,
Benin,0.919170717886054,1.41,4.49027867677588
Burkina Faso,1.95594302672523,4.695,5.75131117312552
Bahrain,2.08766938046978,1.2,
Central African Republic,1.61215686991555,5.517,24.4546854120409
Canada,2.26822567248103,5.837,
Switzerland,0.936335464113563,4.713,
Cote d'Ivoire,0.359409031380677,2.85,10.3242943315724
Cameroon,1.0688581131292,3.601,20.6182625496265
Cyprus,1.43549119531759,8.504,
Czechia,2.14949494949493,2.246,60.9341791216622
Germany,1.73216879766942,3.384,
Djibouti,0.14797084987711,26.184,8.88546212912601
Denmark,0.813609467455631,5.131,3.97288298105847
Spain,1.6749813686379,15.255,
Estonia,3.43632688420446,5.412,
Ethiopia,13.8330356586661,2.802,
Finland,1.08382098409305,7.361,
France,1.85081508315502,9.018,
United Kingdom,2.29283990345938,4.12,
Guinea,9.82761701259191,4.787,33.2657205442149
"Gambia, The",6.52096823946573,4.127,40.5660909796698
Guinea-Bissau,0.381324702790992,3.127,8.80271440526871
Greece,0.62562141345364,19.179,
"Hong Kong SAR, China",2.40613432046534,2.805,5.86615441452845
Haiti,12.4814111170435,13.878,73.5059339897294
Ireland,0.471130713712916,5.741,
Iceland,2.68291768267392,2.704,8.90003136231048
Israel,0.794075660242623,3.917,24.1326053960071
Italy,1.13748763600391,10.61,
Japan,0.989094598021848,2.467,32.4461702642052
Cambodia,2.45908515380146,0.13,29.5095206581832
"Korea, Rep.",1.47583935002645,3.824,5.50957383438758
Liberia,23.5635148953742,3.056,19.2951357708972
Lesotho,4.7518030162474,16.625,6.48988819947644
Lithuania,2.69792779208394,6.147,
Luxembourg,1.5281952430738,5.589,
Madagascar,8.59422958870476,2.297,25.9741238465424
Mali,0.299546507387843,1.62,9.06514289454369
Malta,1.15782362451517,3.658,
Mozambique,3.91133439990729,3.604,44.7830321598186
Mauritania,3.06735996058356,10.407,17.8585099845916
Malawi,12.420178108921,5.014,51.5297811183605
Niger,2.96760366004456,0.535,10.1550179853411
Nigeria,12.0951065173432,5.067,52.7227057585822
Netherlands,1.7034979474447,3.832,
Norway,2.76483134528788,3.801,0.66762418438346
Pakistan,5.07805725868917,4.083,12.4273856657343
Papua New Guinea,4.37448921453162,2.635,37.2627075525281
Poland,1.81295156542679,3.835,10.7264403852305
Rwanda,-0.311210160390699,10.759,15.516300128165
Saudi Arabia,2.45719835917883,6.029,
Senegal,0.460985642464188,3.455,7.73897867146336
Singapore,0.438784215129623,3.613,
Solomon Islands,3.46147484973729,0.72,101.340920759451
Sierra Leone,16.0295447693699,3.192,22.3060863875408
South Sudan,83.5015294922,12.952,119.329266153781
Slovenia,1.7386086198818,5.108,
Sweden,1.95353530127028,6.365,4.46861107726782
Chad,4.27462198610545,1.135,12.3408631342333
Togo,0.928170503538543,2.898,6.53190531832257
Tanzania,3.49445848856181,2.393,19.151237796602
Uganda,2.61601190952274,3.25,23.2528547337731
United States,2.44258329692817,3.896,9.68721833750813
Zambia,7.4945719272852,5.033,14.441583239077
